article_id,category,title,date,content,summary,source_url,source_name,company_tag,keywords,collected_at,has_null,is_duplicate_seed,data_origin
CLN-0001,market,"공정 대응시간 85% 줄인 '엑사원'···LG, 제조 AI 시장 정조준",2026-09-14,"공정 대응시간 85% 줄인 '엑사원'···LG, 제조 AI 시장 정조준 시사저널e","공정 대응시간 85% 줄인 '엑사원'···LG, 제조 AI 시장 정조준 시사저널e",https://news.google.com/rss/articles/CBMickFVX3lxTE1CQmV0ZzZHb1B0SHM2TXhESXg5c25KeS1pQ2VCWkVZMU9pcmI5aGVwdjUxVnloT1dtX1o5VFlKZzdGRFZjNjZSV1FnMlZ3d0h5UGxTWThwbm1POFBLTi1EYTloTUpSSkpQcXB4Mms2aGZ6Z9IBdkFVX3lxTE9GZTVjLW5SNVZ3ZjZwMENLMmJXeWNHVXV6OFZEb1ZsbE9IOGU5R0drRXBQN0doenMxR2FqaUFPejNNVmVxcERfOWk0T0dZSnpDZlF4RkxmQXh2ZmJ2Ymt5UjYtbmZCN1FPWUp0VVpOenVFRVkwRHc?oc=5,시사저널e,,AI,2026-09-19T15:26:23.117511+09:00,false,false,live_crawled
CLN-0002,market,경남도 '제조 AI 확산 거점' 스마트공장 현장 목소리 듣는다,2026-09-15,경남도 '제조 AI 확산 거점' 스마트공장 현장 목소리 듣는다 전자신문,경남도 '제조 AI 확산 거점' 스마트공장 현장 목소리 듣는다 전자신문,https://news.google.com/rss/articles/CBMiTkFVX3lxTE9XNlp6aV9KZGcxbzRRRVZlQ1Y3WEJpMnM5UUdoejJpTmNFNXllcHBfTHBYSkh1Q29rWXhhd09iQ2VsMnIwVF9oSXRrZUxLZw?oc=5,전자신문,,AI|스마트공장,2026-09-19T15:26:23.117511+09:00,false,false,live_crawled
CLN-0003,market,[기획]PoC 성공해도 생산라인에선 난항…제조AI ‘현장 정착’ 관건,2026-09-15,[기획]PoC 성공해도 생산라인에선 난항…제조AI ‘현장 정착’ 관건 매일일보,[기획]PoC 성공해도 생산라인에선 난항…제조AI ‘현장 정착’ 관건 매일일보,https://news.google.com/rss/articles/CBMiZEFVX3lxTE5ZWFRjUktMTWpmOWNiWlM0YWtvQVY2TFZPWHUyYmJfRHZUelRocTJpcm1UQ0IwcFY4c2VwN1BuVG1vdDY2YnpzSnNkUDlFR3RsOVNOdnVUcS1fMFJpTHl0WFR3SmbSAWhBVV95cUxPT1Nzek9yM0NSYW9vWlhMV0MxSjBlU2NPRkx6SHdQM21yMllmT2JUNGd2azlCYjlBYlBaaWNFckJqdHNvUDQwSXRLbTZiT045NkxKR1lBRVpzN3c3VHA1N25QRHMyWjRaYg?oc=5,매일일보,,AI,2026-09-19T15:26:23.117511+09:00,false,false,live_crawled
CLN-0004,market,"스카이월드와이드, 산업용 AI 시장 공략…‘온토비아’ 제조 현장 적용 확대",2026-09-07,"스카이월드와이드, 산업용 AI 시장 공략…‘온토비아’ 제조 현장 적용 확대 브릿지경제","스카이월드와이드, 산업용 AI 시장 공략…‘온토비아’ 제조 현장 적용 확대 브릿지경제",https://news.google.com/rss/articles/CBMiWkFVX3lxTE1YUXlJR0doTEdfeVVFQlFjNzNXWmtyXzNSLURVVXBNWTVfSmJlaGRyODktVHdmZlZIbGlpMWRTbkFDekVLWVJvZEY0TDRaYVkzQVU1OUxpdXo1UQ?oc=5,브릿지경제,,AI,2026-09-19T15:26:23.117511+09:00,false,false,live_crawled
CLN-0005,market,"스카이월드와이드, ‘온토비아’로 제조 현장 AI 시장 공략…산업 데이터 지식화 본격화",2026-09-07,"스카이월드와이드, ‘온토비아’로 제조 현장 AI 시장 공략…산업 데이터 지식화 본격화 스타트업엔(StartupN)","스카이월드와이드, ‘온토비아’로 제조 현장 AI 시장 공략…산업 데이터 지식화 본격화 스타트업엔(StartupN)",https://news.google.com/rss/articles/CBMiaEFVX3lxTE1vaklPd1NBamdhXzdvc3F6T0Q3TlhNZzJFejRNeGxNV3I2eDltaGpxQ0dyaHRjdWN1Y1hsak14OVBsd3I4cVlwSmxQQ1hiVU4zTWlMZTc4YWZ5eTZRdUdadGxoemd2Ym5i0gFsQVVfeXFMUEMzeDBYOG5lakVYWXFJMHlsVVZWUzZLNjFUODE1bk81aDE4WUtJVjBOQXM5NWdvNHFzcjJGUXc0RVFRSmhzeXZQblVKQjNmNTZFREhLcTJfMTljejhVTGw5dlRQMEtQNTk1Sk5K?oc=5,스타트업엔(StartupN),,AI,2026-09-19T15:26:23.117511+09:00,false,false,live_crawled
CLN-0006,market,"스카이월드와이드, ‘온토비아’ 앞세워 제조 AI 시장 공략",2026-09-06,"스카이월드와이드, ‘온토비아’ 앞세워 제조 AI 시장 공략 이투데이","스카이월드와이드, ‘온토비아’ 앞세워 제조 AI 시장 공략 이투데이",https://news.google.com/rss/articles/CBMiVEFVX3lxTE1MeDZtaHktQUhxZXluUGpZd1NFdjlFZkdnNU01U3NkRzJLX2ZUZEQ5NE5SVWREdGtOWTkzM2I1blZsZWI5ck9uZ01EWU9MVGdVMmlqWQ?oc=5,이투데이,,AI,2026-09-19T15:26:23.117511+09:00,false,false,live_crawled
CLN-0007,market,"삼일PwC “제조 AI, 한국 제조업 재도약 위한 핵심 동력”",2026-03-09,"삼일PwC “제조 AI, 한국 제조업 재도약 위한 핵심 동력” PwC","삼일PwC “제조 AI, 한국 제조업 재도약 위한 핵심 동력” PwC",https://news.google.com/rss/articles/CBMiZkFVX3lxTE1GY0hJQ2xtX1g1bXk3QlA1N19acVc1SnljbmNCMjduWk5WWGFzdTJidEFqUHhucXdPRE1EYUxGWW02NFFmWlBxa285aUhQX3BVUkU5NXNPcmRmcEJMZkxvdmlsT2t2QQ?oc=5,PwC,,AI,2026-09-19T15:26:23.117511+09:00,false,false,live_crawled
CLN-0008,market,“노후 설비 호환성 해결이 핵심”… 美 제조 AI 시장 빈틈 공략할 K-M.AX 기업 전략은?,2026-07-14,“노후 설비 호환성 해결이 핵심”… 美 제조 AI 시장 빈틈 공략할 K-M.AX 기업 전략은? 기계신문,“노후 설비 호환성 해결이 핵심”… 美 제조 AI 시장 빈틈 공략할 K-M.AX 기업 전략은? 기계신문,https://news.google.com/rss/articles/CBMiZ0FVX3lxTFBDUmRsNWRXYWN2QWwzTjRfMXBkQ3BCYnFjRVE0cUVWTFlJRjlrbUJCWU4yeURzVXgzX1RnVjNBSWVRY3hoTTM4OWNYSUFmXzlkbHBSZzBxV3pJM1Qwa1lqM3ljVTRfLWc?oc=5,기계신문,,AI,2026-09-19T15:26:23.117511+09:00,false,false,live_crawled
CLN-0009,market,[AI로 읽는 경제] 미국 제조업도 'AI 전환' 속도전…제조업 강국 한국에 열린 새 시장,2026-07-15,[AI로 읽는 경제] 미국 제조업도 'AI 전환' 속도전…제조업 강국 한국에 열린 새 시장 뉴스핌,[AI로 읽는 경제] 미국 제조업도 'AI 전환' 속도전…제조업 강국 한국에 열린 새 시장 뉴스핌,https://news.google.com/rss/articles/CBMiXEFVX3lxTE1Hc05MTnFuNmpqdHhReUdudmpZZzFRTVYxRGZlVzB1UHRldGJhWFpCSTlvUjgtUkhObFNpcFVxdmQ4OFowY3pvWXNMeGlNWHJWaWs4N3FpT0NXeXVW?oc=5,뉴스핌,,AI,2026-09-19T15:26:23.118507+09:00,false,false,live_crawled
CLN-0010,market,"앤트로픽-UST, ‘물리적 AI’ 시장 공략 본격화… 반도체·자동차·제조 현장에 클로드 적용",2026-07-10,"앤트로픽-UST, ‘물리적 AI’ 시장 공략 본격화… 반도체·자동차·제조 현장에 클로드 적용 인공지능신문","앤트로픽-UST, ‘물리적 AI’ 시장 공략 본격화… 반도체·자동차·제조 현장에 클로드 적용 인공지능신문",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9TdFVmUUs0Q2hub3M0cGpxdzVkMHBfOVN4clBCUXlZeEZyNXVmS1oyeUFONVJDX3pReHZEYm05X21sWnJMTFdIZGo5cFlfZDFsWDN1UDVTLUx0TW9mOUFJaXVabzJvVUU?oc=5,인공지능신문,,AI,2026-09-19T15:26:23.118507+09:00,false,false,live_crawled
