rank,article_id,category,total_score,keyword_score,company_score,competitor_score,funding_score,title,recommendation_reason,date,source_name,source_url,company_tag,keywords,data_origin
1,CLN-0167,competitor,62.4,35.0,15.4,12.0,0,"임픽스, 산업용 AI 머신비전 개발…""쉽고 빠른 품질검사 가능""","[기술동향 분석] 머신비전 품질검사 핵심 알고리즘 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2023-11-09,한국경제,https://news.google.com/rss/articles/CBMiWkFVX3lxTFAxUnROM3lDWlU5cUoxNzNEcGM3NnFBYmhtaWw1Z3ZWcFR2R3k4N0xhUmtGTWNTVjRlczYtQ215OUlRSFg2ejI2NHoxQl8wdWlDallUVnlSNk5vUQ?oc=5,,AI|품질검사|머신비전,live_crawled
2,CLN-0114,competitor,60.0,21.0,21.0,18.0,0,"온아이텍, AI 기반 머신비전 솔루션으로 금속·항공정밀검사 혁신","[기술동향 분석] 머신비전 품질검사 핵심 알고리즘 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2025-10-30,인더스트리뉴스,https://news.google.com/rss/articles/CBMickFVX3lxTE9nR3FEQlUwM1VWenZQdjRMQldrVU9ZX3psejJJcTliVkZkTF9oTkZ6d1Nua3ZBTUdVMjA2cnFwZjFGRnVmT1hBVjVwQkhpbWtuRUdmbk4tSU9hNUZjLW1BeWxGX1k3Z216OTZLSzBTYldodw?oc=5,,AI|머신비전,live_crawled
3,CLN-0154,competitor,56.8,21.0,23.8,12.0,0,"뉴로클, AI 비전검사 통한 반도체 품질검사 사례 소개","[기술동향 분석] 반도체/전자부품 공정 특화 비전 모델 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2023-10-25,헬로티,https://news.google.com/rss/articles/CBMiYEFVX3lxTE5kUEJyN2NVNlZ3QjBIem0yMWpmV2tfcHFZZlp5dTQ0OTQ0ekxUYm42dkl1ZkdQR3NYR3dBaURhaW5uSEY4cWtsRkpvaXJNdDJrWVRYLUtnRTFYazdoWTFiMg?oc=5,,AI|품질검사,live_crawled
4,CLN-0151,competitor,55.0,18.0,25.0,12.0,0,"비전AI로 반도체 회로기판 불량검사…레졸루션, 중기부 팁스 선정","[기술동향 분석] 외관 불량 탐지 정밀도 고도화 및 반도체/전자부품 공정 특화 비전 모델 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2025-01-13,유니콘팩토리,https://news.google.com/rss/articles/CBMibEFVX3lxTFA3aWhIRnZnRlVDenU0RnVyUnp3Wk1WcEJiaTF1WE9jc0RCaVBpSXNzMWY5VFpkcWRUd1JCbHY5cW9KcUVQQl9aWDRXNDdDaXFFY2FfV1NIVFYzcFVKUnpLcUVrQVBSLXNSN0J6TA?oc=5,,AI,live_crawled
5,CLN-0166,competitor,55.0,18.0,25.0,12.0,0,"비전AI로 반도체 회로기판 불량검사…레졸루션, 중기부 팁스 선정 - 머니투데이","[기술동향 분석] 외관 불량 탐지 정밀도 고도화 및 반도체/전자부품 공정 특화 비전 모델 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2025-01-13,mt.co.kr,https://news.google.com/rss/articles/CBMiakFVX3lxTE1aUnl2a1dCZTl1TGNOd0lwRl9tWnVmS2VKMUhGUVoxbENjb2pzWHY1LVhCRnVhRzhvQ3ppdFVVdV9OUVhBSFZMUmp4ZHhYUTJFdFMtNzZhdkZVY0lzLVByUFBSbm5RN1d2UWfSAW9BVV95cUxORzEySW1Zajc4eFVXUUUwOHFTZDZWelFKZUtQOFdzTkk5Q0lxbUVfWThGcy0tZU80OWo2bHpmcmo4SUFQSWoxTjBUUFVQQzBpZ19vdFBqRmJHR0hwNHdJNHVSaEROTm9ZR3J5T3lFQ0U?oc=5,,AI,live_crawled
6,CLN-0116,competitor,54.4,21.0,15.4,18.0,0,"AI 머신비전 기업 '이글이비전', 사출성형 검사 혁신 주도...제조 품질 표준 재정의","[기술동향 분석] 머신비전 품질검사 핵심 알고리즘 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2025-12-08,이투뉴스,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9mbVdKLUNTd0NEY2gzb0JiR3lRcjU3U01nQzBpZ0d4alZ0anF0dXU4d2Z6SVZ0c3VORFhLVDB3cFNsUkpiQ0lRVUo0QnUwUFBKcVVDNjItdlczRkppc3NNcElrYjVXMjDSAWtBVV95cUxQSmNJUmlxWFRkckJNeDBtcHh2all0VlYxaFA3VV9kMlk3WVJpbzZNcVRxOW9mbVF4TjREY05lQWpCMWVUT0lvMk00M0hIcjdwM1cxa0RLRGFJUHVPQUE2dVIyLVlhQU1hMWpMSQ?oc=5,,AI|머신비전,live_crawled
7,CLN-0086,competitor,53.8,18.0,23.8,12.0,0,"[AW 베트남 2026] 엠비젼, 자동차 부품 외관검사 AI 비전 시스템 선보인다","[기술동향 분석] 외관 불량 탐지 정밀도 고도화 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2026-08-26,헬로티,https://news.google.com/rss/articles/CBMiX0FVX3lxTFB1UjZ3aTZkVFVIeExnZlA5bVVqanpBdDlVTDJZajM0b3dyNTVuQzVXNjdWOGdBN1JTRXpQTlVGQk9CcmZMd2dVYjlveXZFZmxLcWoxUWdVQmR6SkdhVm5R?oc=5,,AI,live_crawled
8,CLN-0092,competitor,48.4,21.0,15.4,12.0,0,AI 검사부터 3D 로봇 가이던스까지...우리 현장에 필요한 AI 머신비전 기술은?,"[기술동향 분석] 머신비전 품질검사 핵심 알고리즘 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2026-08-14,헬로티,https://news.google.com/rss/articles/CBMiX0FVX3lxTE4ycGFib1VQblUyUkRGTW5wb0xjcFMtbi1tMFd2cWRvOThQWFZjd1o5M2h5S2E2V1VCb1Utay1odkhOaDBwYjIyaDk1d1FfX01EaUU5ZDBXcXZNVDNvLU1N?oc=5,,AI|머신비전,live_crawled
9,CLN-0150,competitor,48.4,21.0,15.4,12.0,0,"뉴로클, ‘AI 비전검사’로 두 마리 토끼 잡았다… 딥러닝 기반 차세대 품질검사 지원","[기술동향 분석] 머신비전 품질검사 핵심 알고리즘 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2023-10-27,인더스트리뉴스,https://news.google.com/rss/articles/CBMickFVX3lxTE04UGxVMDFuR19UTDJCaDZYUjNCaUxFYmZxd0J1X1JwNXlKbHVSMkdzOHhDTWt1aVJHbmw4clFhS2FuY1BQWDdsRXZBTmFNdGtBdHRrakdXLWdkazdicElQT0E1VEp1dk1qR1MybjI4eVFFUQ?oc=5,,AI|품질검사,live_crawled
10,CLN-0162,competitor,48.0,15.0,21.0,12.0,0,"기술 융합 거듭한 머신비전, 정밀한 검사로 공정 신뢰도 높인다","[기술동향 분석] 머신비전 품질검사 핵심 알고리즘 관련 최신 데이터로, NovaFactory AI의 딥러닝 불량 검출 알고리즘 개선 및 품질 리포트 자동화 기술 로드맵에 즉각 반영할 가치가 있습니다.",2023-05-19,FA저널,https://news.google.com/rss/articles/CBMia0FVX3lxTFA3MXFmRXJOdDllMklEaUJsRzZ3cVpOTndzQVdQMEUzT2t0bHVzcDl5b29fM3IxUE5tRUtjWTFhck94anhtVE1McGdubm90SU1JcUdZUkFYQ3B6d3JmZW93YXU2RHVhTVhYNEJz?oc=5,,머신비전,live_crawled
