article_id,category,title,date,content,summary,source_url,source_name,company_tag,keywords,collected_at,has_null,is_duplicate_seed,data_origin
LIVE-0001,market,"제조 AX, 고정설비 넘어 피지컬 AI로 비정형 작업까지 확장해야 - 산업일보",2026-09-19,"제조 AX, 고정설비 넘어 피지컬 AI로 비정형 작업까지 확장해야 &nbsp;&nbsp; 산업일보","제조 AX, 고정설비 넘어 피지컬 AI로 비정형 작업까지 확장해야 &nbsp;&nbsp; 산업일보",https://news.google.com/rss/articles/CBMiREFVX3lxTFBuUGYweHNRb1hFdzZJS2NOczhYTUlBX2NWOXJ2ekdvVk1pbEZPOUNUTXQyeFBGaVR2U3BiV0VFWHNJa0Rn?oc=5,산업일보,,AI|제조 AX,2026-09-19T15:56:41.322347,false,false,live_crawler
LIVE-0002,market,"정부, 중소 스마트공장에 '피지컬 AI' 심는다…특화 지원 프로그램 신설 - 전자신문",2026-09-07,"정부, 중소 스마트공장에 '피지컬 AI' 심는다…특화 지원 프로그램 신설 &nbsp;&nbsp; 전자신문","정부, 중소 스마트공장에 '피지컬 AI' 심는다…특화 지원 프로그램 신설 &nbsp;&nbsp; 전자신문",https://news.google.com/rss/articles/CBMiTkFVX3lxTE5JZWZCUUVoX0VfR1RJYlZEdFJYMVhWNU9MSFR2aXFJbGY1VnRud3FCTkFScVRxQzkybGhFbjYyRFNLMmxVWEVkYk1sSHVPZw?oc=5,전자신문,,AI|스마트공장,2026-09-19T15:56:41.322347,false,false,live_crawler
LIVE-0003,market,"부산 스마트공장, 시스템 구축 넘어 제조AI로 전환… - 중도일보",2026-09-19,"부산 스마트공장, 시스템 구축 넘어 제조AI로 전환… &nbsp;&nbsp; 중도일보","부산 스마트공장, 시스템 구축 넘어 제조AI로 전환… &nbsp;&nbsp; 중도일보",https://news.google.com/rss/articles/CBMiZEFVX3lxTFBUQzAwSnl5MjJURVVwcFl2ZzJIUDZ4WjhfV3ppV2hPZTZ6UVJia0xwNjdxdlVwT2YxN1g4ampObFNwVkZTR01heTRxTWVxOUkzM0I2UWZycFFoYnJaUzVqVFdtX0w?oc=5,중도일보,,AI|스마트공장,2026-09-19T15:56:41.322347,false,false,live_crawler
LIVE-0004,market,"[특집/향후 10년 한국의 수출을 이끌 차세대 산업 시리즈 No.14 스마트팩토리] “공장이 스스로 판단하고 움직인다”…AI 스마트팩토리, 한국 수출의 새 성장엔진 - 코리아포스트 한글판",2026-09-19,"[특집/향후 10년 한국의 수출을 이끌 차세대 산업 시리즈 No.14 스마트팩토리] “공장이 스스로 판단하고 움직인다”…AI 스마트팩토리, 한국 수출의 새 성장엔진 &nbsp;&nbsp; 코리아포스트 한글판","[특집/향후 10년 한국의 수출을 이끌 차세대 산업 시리즈 No.14 스마트팩토리] “공장이 스스로 판단하고 움직인다”…AI 스마트팩토리, 한국 수출의 새 성장엔진 &nbsp;&nbsp; 코리아포스트 한글판",https://news.google.com/rss/articles/CBMibkFVX3lxTE05WE83bWV6M3ktak1jZ0xoQnp2cGgxazFmWDZydzR3Nk1zQ050X002ei1WeVNJS1NYamc0TkIzR1YzcHlSX25MVDhHTENUWjVsVy1pSDFwUlJVTllpSTNFTFhxR1dLQ2pKUkJRNm5B?oc=5,코리아포스트 한글판,,AI|스마트팩토리,2026-09-19T15:56:41.322347,false,false,live_crawler
LIVE-0005,market,"부산TP, 스마트 공장 정책 변화 대응 간담회 개최 - 메트로신문",2026-09-18,"부산TP, 스마트 공장 정책 변화 대응 간담회 개최 &nbsp;&nbsp; 메트로신문","부산TP, 스마트 공장 정책 변화 대응 간담회 개최 &nbsp;&nbsp; 메트로신문",https://news.google.com/rss/articles/CBMiYEFVX3lxTE5LVFN3aDlFVExQRFExRURMdWFobl9uWl8weW9mLVFsM2JwclBUVWtwRE9LaDRaeEhUSHFCMFhjcE5sT0drV0wxR1Fhd2tnb1BMOUQ2ZlB2S0NRTjRpM1k5Mg?oc=5,메트로신문,,AI|스마트팩토리,2026-09-19T15:56:41.322347,false,false,live_crawler
LIVE-0006,market,"인터엑스, WAVE 2026서 제조AX 생태계 공개…“울산서 대한민국 제조 혁신 확산” - 헬로티",2026-09-16,"인터엑스, WAVE 2026서 제조AX 생태계 공개…“울산서 대한민국 제조 혁신 확산” &nbsp;&nbsp; 헬로티","인터엑스, WAVE 2026서 제조AX 생태계 공개…“울산서 대한민국 제조 혁신 확산” &nbsp;&nbsp; 헬로티",https://news.google.com/rss/articles/CBMiX0FVX3lxTFBudnYwMW1NVjVaWUQ0U1RTRGo5MmxvQ24zelQ1VUw1aWRFWWQyQ3RGY25ST2JkWndPTnpxTzZsVDF6Mm5aNXBxc2JPX1ZGY1ItNmJ6dkZHbUVmeTM5blVB?oc=5,헬로티,,AI|스마트팩토리,2026-09-19T15:56:41.322347,false,false,live_crawler
LIVE-0007,market,피지컬 AI·제조AX로 산업혁신 미래 연다 - 영남경제,2026-09-17,피지컬 AI·제조AX로 산업혁신 미래 연다 &nbsp;&nbsp; 영남경제,피지컬 AI·제조AX로 산업혁신 미래 연다 &nbsp;&nbsp; 영남경제,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9ueFZDNldyMjRTbWxrY0xjeTY5OVloYjJ5RmhZSlpka0ltN3cxNEhONC1kSk42ZGF4VzU5N2dtLXZmQ2VDa2wybWhhZC1VeUNPNGxOWUJTY0RIN0dqbEx5TjdGZjdUVm8?oc=5,영남경제,,AI,2026-09-19T15:56:41.322347,false,false,live_crawler
LIVE-0008,market,"""KAIST, AX 협력 지역 기업 찾습니다""···대덕 제조 AX 협력망 가동 - 헬로디디",2026-09-15,"""KAIST, AX 협력 지역 기업 찾습니다""···대덕 제조 AX 협력망 가동 &nbsp;&nbsp; 헬로디디","""KAIST, AX 협력 지역 기업 찾습니다""···대덕 제조 AX 협력망 가동 &nbsp;&nbsp; 헬로디디",https://news.google.com/rss/articles/CBMiakFVX3lxTE1tY0xfOGRrM29JMFRhTGM2TXVnN3RwcDBqQWhZRWZRd3I3cEt5QnlyVHpmaWxkUE1sX1hDc2gxZTJMR0FXOFc3X0ZuQm9JVWtaak5Gd2hSTmxoZnczaGlNeGhHTUpmRWtUU2c?oc=5,헬로디디,,AI|제조 AX,2026-09-19T15:56:41.322347,false,false,live_crawler
LIVE-0009,market,유일로보틱스 “스마트 팩토리 솔루션 기업에서 다크 팩토리로 역량 확대” - 로봇신문,2026-09-16,유일로보틱스 “스마트 팩토리 솔루션 기업에서 다크 팩토리로 역량 확대” &nbsp;&nbsp; 로봇신문,유일로보틱스 “스마트 팩토리 솔루션 기업에서 다크 팩토리로 역량 확대” &nbsp;&nbsp; 로봇신문,https://news.google.com/rss/articles/CBMibEFVX3lxTE1YWU5aOG4wMmZpMVJ1SXA3SW9peGNnOFFDSEp3b0hSNTlLSmZndmhjTHFDZ240OU9nV1U1SUVMMlI0TmxPajhCXzRHdUNSdThHQ2xqSjNwa1BNM2pfQm9RajUydUdfUjdCTnJaTg?oc=5,로봇신문,,AI|스마트팩토리,2026-09-19T15:56:41.322347,false,false,live_crawler
LIVE-0010,market,"""AI 활용 역량이 경쟁력"" 부산TP, 스마트공장 기업과 머리 맞대 - v.daum.net",2026-09-17,"""AI 활용 역량이 경쟁력"" 부산TP, 스마트공장 기업과 머리 맞대 &nbsp;&nbsp; v.daum.net","""AI 활용 역량이 경쟁력"" 부산TP, 스마트공장 기업과 머리 맞대 &nbsp;&nbsp; v.daum.net",https://news.google.com/rss/articles/CBMiRkFVX3lxTE40dXBVYkhqcVQ4Y3N3RlV1RjhSM2ZDNGN5and4RDh1aFo4NmZqVGVQcG44b3F2NjBNbG1UazhZOTM1cnVld1E?oc=5,v.daum.net,,AI|스마트공장,2026-09-19T15:56:41.322347,false,false,live_crawler
